Name,Symbol,Industry Group,Industry
Stovec Inds.,,Industrial Manufacturing,Industrial Products
TCC Concept,TCC,Retailing,Internet & Catalogue Retail
Mukta Arts,MUKTAARTS,Entertainment,"Film Production, Distribution & Exhibition"
DJ Mediaprint,DJML,Transport Services,Logistics Solution Provider
Eppeltone Ene.,EEPL,Electrical Equipment,Other Electrical Equipment
Vipul Organics,,Chemicals & Petrochemicals,Specialty Chemicals
Accretion Pha.,ACCPL,Pharmaceuticals & Biotechnology,Pharmaceuticals
Agarwal Toughene,AGARWALTUF,Industrial Products,Glass - Industrial
TAAL Tech,TAALTECH,Transport Services,Airline
Lactose (India),,Pharmaceuticals & Biotechnology,Pharmaceuticals
Indian Toners,,Chemicals & Petrochemicals,Specialty Chemicals
Arham Tech,ARHAM,Consumer Durables,Consumer Electronics
Srinibas Pradhan,SPCON,Construction,Civil Construction
Uni Abex Alloy,,Industrial Products,Iron & Steel Products
Colab Platforms,,Finance,Other Financial Services
Indokem,,Chemicals & Petrochemicals,Specialty Chemicals
Dolphin Offshore,DOLPHIN,Oil,Offshore Support Solution Drilling
Bansal Roofing,,Industrial Products,Iron & Steel Products
Star Imaging,,Healthcare Services,Healthcare Service Provider
Vibrant Glo. Cap,,Finance,Non Banking Financial Company (NBFC)
Asarfi Hospital,,Healthcare Services,Hospital
Systango Tech,SYSTANGO,IT - Software,Computers - Software & Consulting
Jenburkt Pharma,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Power & Instrum.,PIGL,Electrical Equipment,Other Electrical Equipment
Aayush Wellness,,Food Products,Packaged Foods
Current Infra.,CURRENT,Construction,Civil Construction
Baroda Extrusion,,Industrial Products,"Aluminium, Copper & Zinc Products"
United Drilling,UNIDT,Industrial Manufacturing,Industrial Products
Neetu Yoshi,,Industrial Products,Castings & Forgings
Dev Information,DEVIT,IT - Services,IT Enabled Services
Sayaji Hotels,SAYAJIHOTL,Leisure Services,Hotels & Resorts
Jinkushal Indus.,JKIPL,"Agricultural, Commercial & Construction Vehicles","Dealers-Commercial Vehicles, Tractors, Construction Vehicles"
GRE Renew,,Construction,Civil Construction
Suba Hotels,SUBAHOTELS,Leisure Services,Hotels & Resorts
Optimus Finance,,Finance,Non Banking Financial Company (NBFC)
Medicamen Biotec,MEDICAMEQ,Pharmaceuticals & Biotechnology,Pharmaceuticals
Maximus Interna.,,Commercial Services & Supplies,Trading & Distributors
Suraj,SURAJLTD,Industrial Products,Iron & Steel Products
Guj. Themis Bio.,GUJTHEM,Pharmaceuticals & Biotechnology,Pharmaceuticals
NINtec Systems,NINSYS,IT - Software,Computers - Software & Consulting
Max India Ltd,MAXIND,Finance,Holding Company
Eldeco Housing,ELDEHSG,Realty,"Residential, Commercial Projects"
Gennex Lab.,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Bhagwati Auto,,Auto Components,Auto Components & Equipments
Ameenji Rubber,,Industrial Products,Rubber
Abate As Indust,,Healthcare Services,Hospital
Akme Fintrade,AFIL,Finance,Non Banking Financial Company (NBFC)
Everest Organics,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Hannah Joseph,,Healthcare Services,Hospital
Aztec Fluids,,IT - Hardware,Computers Hardware & Equipments
U. Y. Fincorp,UYFINCORP,Finance,Non Banking Financial Company (NBFC)
GTT Data,,IT - Software,Computers - Software & Consulting
Aprameya Enginee,APRAMEYA,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Ksolves India,KSOLVES,IT - Software,Computers - Software & Consulting
Suratwwala Busi.,SBGLP,Realty,"Residential, Commercial Projects"
Bharat Road,BRNL,Construction,Civil Construction
Kothari Sugars,KOTARISUG,Agricultural Food & other Products,Sugar
Rama Vision,,Commercial Services & Supplies,Trading & Distributors
Sera Investments,,Finance,Non Banking Financial Company (NBFC)
Tirupati Forge,TIRUPATIFL,Industrial Products,Castings & Forgings
Trejhara Solutio,TREJHARA,IT - Software,Computers - Software & Consulting
Stratmont Indus.,,Commercial Services & Supplies,Trading & Distributors
Balaji Telefilms,BALAJITELE,Entertainment,Media & Entertainment
WOL 3D India,WOL3D,Industrial Products,Other Industrial Products
Addictive Learn,ADDICTIVE,Other Consumer Services,E-Learning
Anlon Tech,ANLON,Commercial Services & Supplies,Diversified Commercial Services
Sika Interplant,SIKA,Aerospace & Defense,Aerospace & Defense
Zodiac Cloth. Co,ZODIACLOTH,Textiles & Apparels,Garments & Apparels
Dai-ichi Karkari,DAICHI,Chemicals & Petrochemicals,Specialty Chemicals
HRS Aluglaze,,Industrial Manufacturing,Industrial Products
CWD,,Consumer Durables,Consumer Electronics
KPT Industries,,Industrial Manufacturing,Industrial Products
Kesar Petroprod.,,Chemicals & Petrochemicals,Commodity Chemicals
Dolfin Rubbers,,Auto Components,Tyres & Rubber Products
Espire Hospi,,Leisure Services,Hotels & Resorts
Jay Ambe Super.,,Retailing,Diversified Retail
CHL,,Leisure Services,Hotels & Resorts
Music Broadcast,RADIOCITY,Entertainment,Media & Entertainment
Puretrop Fruits,,Agricultural Food & other Products,Other Agricultural Products
Monolithisch Ind,MONOLITH,Industrial Products,Electrodes & Refractories
Aion-Tech Soluti,GOLDTECH,IT - Software,Software Products
Akanksha Power,AKANKSHA,Electrical Equipment,Other Electrical Equipment
Admach Systems,,Industrial Manufacturing,Industrial Products
Acetech E-Commerce,ACETEC,Retailing,E-Retail/ E-Commerce
Nitin Castings,,Industrial Products,Castings & Forgings
ITCONS E-Soluti.,,Commercial Services & Supplies,Diversified Commercial Services
Riddhi Siddhi Gl,,Commercial Services & Supplies,Trading & Distributors
Renol Polychem,RNPL,Chemicals & Petrochemicals,Specialty Chemicals
Tata Inv.Corpn.,TATAINVEST,Finance,Investment Company
Encompass Design,ENCOMPAS,Commercial Services & Supplies,Trading & Distributors
BAG Films,BAGFILMS,Entertainment,TV Broadcasting & Software Production
Integra Engg.,,Industrial Manufacturing,Industrial Products
Nureca,NURECA,Healthcare Equipment & Supplies,Medical Equipment & Supplies
IRIS Regtech Solutions,IRIS,IT - Software,Software Products
Pelatro,PELATRO,Media,Web based media and service
Silkflex Polymer,SILKFLEX,Chemicals & Petrochemicals,Specialty Chemicals
Bodhi Tree,BTML,Entertainment,Digital Entertainment
Active Infra.,ACTIVEINFR,Realty,"Residential, Commercial Projects"
India Gelatine,,Chemicals & Petrochemicals,Specialty Chemicals
Artson,,Industrial Manufacturing,Industrial Products
Sampann Utpadan,SAMPANN,Industrial Products,Rubber
Robust Hotels,RHL,Leisure Services,Hotels & Resorts
Viceroy Hotels,VHLTD,Leisure Services,Hotels & Resorts
Orient Green,GREENPOWER,Power,Power Generation
Lancor Holdings,LANCORHOL,Realty,"Residential, Commercial Projects"
TARC Ltd,TARC,Realty,"Residential, Commercial Projects"
Rainbow Foundat.,,Realty,"Residential, Commercial Projects"
Kinetic Engg.,,Auto Components,Auto Components & Equipments
EPW India,EPWINDIA,IT - Hardware,Computers Hardware & Equipments
Indo Thai Sec.,INDOTHAI,Capital Markets,Stockbroking & Allied
Bafna Pharma.,BAFNAPH,Pharmaceuticals & Biotechnology,Pharmaceuticals
Hypersoft Tech.,,IT - Software,Computers - Software & Consulting
Sonam,SONAMLTD,Consumer Durables,Consumer Electronics
Sanco Trans,,Transport Services,Logistics Solution Provider
Shri Keshav,,Cement & Cement Products,Cement & Cement Products
Magson Retail,MAGSON,Food Products,Packaged Foods
Resgen,,Petroleum Products,Refineries & Marketing
Supreme Power,SUPREMEPWR,Electrical Equipment,Other Electrical Equipment
Natural Capsules,NATCAPSUQ,Pharmaceuticals & Biotechnology,Pharmaceuticals
Aesthetik Engi.,AESTHETIK,Construction,Civil Construction
Focus Lighting,FOCUS,Consumer Durables,Consumer Electronics
Master Component,MASTER,Industrial Products,Plastic Products - Industrial
SC Agrotech,,Agricultural Food & other Products,Other Agricultural Products
Foseco Crucible (India),,Industrial Products,Electrodes & Refractories
Fidel Softech,FIDEL,IT - Software,Computers - Software & Consulting
QMS Medical,QMSMEDI,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Pansari Develop.,PANSARI,Realty,"Residential, Commercial Projects"
Delaplex,DELAPLEX,IT - Software,Computers - Software & Consulting
Kings Infra,,Food Products,Seafood
Sotac Pharma.,SOTAC,Pharmaceuticals & Biotechnology,Pharmaceuticals
Asian Hotels (E),AHLEAST,Leisure Services,Hotels & Resorts
Covance Softsol,,IT - Software,Computers - Software & Consulting
Evexia Lifecare,,Chemicals & Petrochemicals,Trading - Chemicals
Metroglobal,METROGLOBL,Commercial Services & Supplies,Trading & Distributors
Justo Realfin,,Realty,Real Estate related services
Archit Organosys,,Chemicals & Petrochemicals,Commodity Chemicals
Gallard Steel,,Auto Components,Auto Components & Equipments
UVS Hospitality,,Finance,Non Banking Financial Company (NBFC)
Rishi Laser,,Industrial Manufacturing,Industrial Products
Indsil Hydro,,Ferrous Metals,Ferro & Silica Manganese
Advani Hotels.,ADVANIHOTR,Leisure Services,Hotels & Resorts
Ecoplast,,Industrial Products,Plastic Products - Industrial
Harshdeep Horti.,,Agricultural Food & other Products,Other Agricultural Products
RTS Power Corpn.,,Electrical Equipment,Other Electrical Equipment
Aveer Foods,,Food Products,Packaged Foods
Dachepalli Pub.,,Printing & Publication,Printing & Publication
All E Tech,ALLETEC,IT - Software,Computers - Software & Consulting
Pritika Engineer,PRITIKA,Auto Components,Auto Components & Equipments
Enser,ENSER,IT - Services,IT Enabled Services
Anlon Healthcare,AHCL,Pharmaceuticals & Biotechnology,Pharmaceuticals
Pattech Fitwell,PATTECH,Industrial Products,Castings & Forgings
Kiran Vyapar,KIRANVYPAR,Finance,Non Banking Financial Company (NBFC)
Crest Ventures,CREST,Finance,Non Banking Financial Company (NBFC)
James Warren Tea,,Agricultural Food & other Products,Tea & Coffee
Gretex Corporate,GCSL,Capital Markets,Other Capital Market related Services
Exato Technologies,,IT - Services,IT Enabled Services
Bhilwara Spinner,,Textiles & Apparels,Other Textile Products
Sadhav Shipping,SADHAV,Transport Services,Shipping
Narmadesh Brass,,Industrial Products,Other Industrial Products
Remi Edelstahl,,Industrial Products,Iron & Steel Products
Aeroflex Neu,AERONEU,Industrial Products,Packaging
Vikram Thermo,,Chemicals & Petrochemicals,Commodity Chemicals
Oxygenta Pharma,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Kanchi Karpooram,KANCHI,Chemicals & Petrochemicals,Commodity Chemicals
Latteys Industri,LATTEYS,Industrial Products,"Compressors, Pumps & Diesel Engines"
Unimech Aero.,UNIMECH,Aerospace & Defense,Aerospace & Defense
IST,,Auto Components,Auto Components & Equipments
TechD Cybersec.,TECHD,IT - Services,IT Enabled Services
HB Estate Devel.,HBESD,Realty,"Residential, Commercial Projects"
RRIL,RRIL,Textiles & Apparels,Other Textile Products
Shish Industries,,Industrial Products,Plastic Products - Industrial
Party Cruisers,PARTYCRUS,Other Consumer Services,Other Consumer Services
Intense Tech.,INTENTECH,IT - Services,IT Enabled Services
Global Pet Indus,GLOBALPET,Industrial Manufacturing,Industrial Products
Quadrant Future,QUADFUTURE,Industrial Products,Cables - Electricals
Lloyds Luxuries,LLOYDS,Leisure Services,Wellness
Shree Ganesh Rem,,Pharmaceuticals & Biotechnology,Pharmaceuticals
GeeCee Vent.,GEECEE,Realty,"Residential, Commercial Projects"
Kalind,,Commercial Services & Supplies,Diversified Commercial Services
Kerala Ayurveda,,Pharmaceuticals & Biotechnology,Pharmaceuticals
BharatRohan Air.,,Agricultural Food & other Products,Other Agricultural Products
Veljan Denison,VELJAN,Auto Components,Auto Components & Equipments
Spice LoungeFood,,Leisure Services,Restaurants
Saraswati Commer,ZSARACOM,Finance,Non Banking Financial Company (NBFC)
JSW Holdings,JSWHL,Finance,Investment Company
Innovana Think.,INNOVANA,IT - Software,Computers - Software & Consulting
Cospower Engine.,,Industrial Manufacturing,Industrial Products
Softtech Enginee,SOFTTECH,IT - Software,Computers - Software & Consulting
Taurian MPS,TAURIAN,Industrial Manufacturing,Industrial Products
Revathi Equip,RVTH,Industrial Manufacturing,Industrial Products
Aptus Pharma,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Marc Technocrats,MARC,Commercial Services & Supplies,Consulting Services
Maruti Interior,,Consumer Durables,Houseware
Emkay Taps & Cut,EMKAYTOOLS,Industrial Manufacturing,Industrial Products
Essen Speciality,ESFL,Consumer Durables,Plastic Products - Consumer
Mac Charles(I),MCCHRLS-B,Leisure Services,Hotels & Resorts
GTV Engineering,,Industrial Manufacturing,Industrial Products
Teamtech Formwork,,,
Modern Malleable,,Industrial Products,Iron & Steel Products
W I Plywoods,WIPL,Consumer Durables,Plywood Boards/ Laminates
Quint Digital,QUINT,Media,Electronic Media
Enfuse Solutions,ENFUSE,IT - Services,IT Enabled Services
Sunita Tools Ltd,,Industrial Manufacturing,Industrial Products
AG Ventures,,Chemicals & Petrochemicals,Commodity Chemicals
Suditi Industrie,,Textiles & Apparels,Other Textile Products
Shree Salasar,,Finance,Other Financial Services
DU Digital,DUGLOBAL,Leisure Services,"Tour, Travel Related Services"
ABM Knowledge,ABMKNO,IT - Software,Software Products
Lyka Labs,LYKALABS,Pharmaceuticals & Biotechnology,Pharmaceuticals
Guj. Inject(Ker),,Pharmaceuticals & Biotechnology,Pharmaceuticals
Yash Optics,YASHOPTICS,Consumer Durables,Diversified consumer products
Quest Laborato.,QUESTLAB,Pharmaceuticals & Biotechnology,Pharmaceuticals
Atlantaa,ATLANTAA,Construction,Civil Construction
Loyal Equipments,,Industrial Manufacturing,Industrial Products
Optivalue Tek,OPTIVALUE,IT - Services,IT Enabled Services
Adcounty Media.,,Media,Web based media and service
Prime Securities,PRIMESECU,Finance,Other Financial Services
Kimia Bioscien.,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Oil Country,OILCOUNTUB,Oil,Oil Equipment & Services
Hindustan Hardy,,Auto Components,Auto Components & Equipments
Supreme Infra.,SUPREMEINF,Construction,Civil Construction
Sayaji (Indore),,Leisure Services,Hotels & Resorts
PNGS Gargi FJ,,Consumer Durables,"Gems, Jewellery And Watches"
High Energy Bat.,,Household Products,Household Products
Panorama Studios,,Entertainment,"Film Production, Distribution & Exhibition"
Mega Flex Plast.,MEGAFLEX,Industrial Products,Packaging
Airan,AIRAN,IT - Services,IT Enabled Services
VLS Finance,VLSFINANCE,Finance,Investment Company
Smruthi Organic,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Alpa Laboratorie,ALPA,Pharmaceuticals & Biotechnology,Pharmaceuticals
BDH Industries,,Pharmaceuticals & Biotechnology,Pharmaceuticals
MANGALAM SEEDS,,Agricultural Food & other Products,Other Agricultural Products
Rappid Valves,RAPPID,Industrial Products,Other Industrial Products
Hoac Foods,HOACFOODS,Food Products,Other Food Products
Azad India,,Industrial Products,Iron & Steel Products
Laxmipati Engg,,Industrial Manufacturing,Ship Building & Allied Services
Autoriders Intl.,,Transport Services,Logistics Solution Provider
Weizmann,WEIZMANIND,Textiles & Apparels,Other Textile Products
Euro India Fresh,EIFFL,Food Products,Packaged Foods
Dhara Rail Pro.,DHARARAIL,Commercial Services & Supplies,Diversified Commercial Services
Shradha Realty,SHRADHA,Realty,"Residential, Commercial Projects"
Amarjothi Spg.,,Textiles & Apparels,Other Textile Products
Sattrix Infor.,,IT - Services,IT Enabled Services
Soma Textiles,SOMATEX,Textiles & Apparels,Other Textile Products
Curis Lifescien.,CURIS,Pharmaceuticals & Biotechnology,Pharmaceuticals
The Byke Hospi.,BYKE,Leisure Services,Hotels & Resorts
LKP Securities,,Capital Markets,Stockbroking & Allied
TAC Infosec,TAC,IT - Software,Computers - Software & Consulting
Siddhika Coatins,SIDDHIKA,Consumer Durables,Paints
Gretex Industrie,GRETEX,Entertainment,Media & Entertainment
Sintercom India,SINTERCOM,Auto Components,Auto Components & Equipments
Pune e,,Capital Markets,Stockbroking & Allied
Mahalaxmi Rubtec,MHLXMIRU,Textiles & Apparels,Other Textile Products
Aaron Industries,AARON,Industrial Manufacturing,Industrial Products
Tarmat,TARMAT,Construction,Civil Construction
Swastika Investm,,Capital Markets,Stockbroking & Allied
Peninsula Land,PENINLAND,Realty,"Residential, Commercial Projects"
Dollex Agrotech,DOLLEX,Agricultural Food & other Products,Sugar
DRC Systems,DRCSYSTEMS,IT - Software,Computers - Software & Consulting
Suyog Gurbaxani,,Construction,Civil Construction
Savera Industrie,,Leisure Services,Hotels & Resorts
Global Education,GLOBAL,Other Consumer Services,Education
Quest Capital,,Capital Markets,Other Capital Market related Services
W H Brady,,Industrial Products,Other Industrial Products
SMT Engineering,,Commercial Services & Supplies,Trading & Distributors
Pil Italica Life,PILITA,Consumer Durables,Plastic Products - Consumer
Felix Industries,FELIX,Other Utilities,Water Supply & Management
Panch.Organics,,Pharmaceuticals & Biotechnology,Pharmaceuticals
NTC Industries,,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
Laxmi Goldorna,LGHL,Consumer Durables,"Gems, Jewellery And Watches"
Mitcon Consult.,MITCON,Commercial Services & Supplies,Consulting Services
Eyantra Ventures,,Commercial Services & Supplies,Diversified Commercial Services
M K Exim India,,Retailing,Distributors
Quest Flow,,Industrial Products,Other Industrial Products
Praxis Home,PRAXIS,Retailing,Speciality Retail
Kronox Lab,KRONOX,Chemicals & Petrochemicals,Specialty Chemicals
Envirotech Sys.,ENVIRO,Industrial Products,Other Industrial Products
Matrix Geo Sol.,MGSL,IT - Services,IT Enabled Services
SPEB Adhesives,SPEB,Chemicals & Petrochemicals,Specialty Chemicals
Credent Global,,Finance,Non Banking Financial Company (NBFC)
RDB Rasayans,,Industrial Products,Packaging
LGB Forge,,Auto Components,Auto Components & Equipments
RIR Power Electr,,Electrical Equipment,Other Electrical Equipment
Bemco Hydraulics,,Industrial Manufacturing,Industrial Products
Mercury EV-Tech,,Automobiles,Passenger Cars & Utility Vehicles
Comfort Intech,COMFINTE,Beverages,Breweries & Distilleries
P.E. Analytics,PROPEQUITY,Realty,Real Estate related services
Mercantile Vent.,MERCANTILE,Commercial Services & Supplies,Diversified Commercial Services
Baid Finserv,BAIDFIN,Finance,Non Banking Financial Company (NBFC)
Avro India,AVROIND,Consumer Durables,Plastic Products - Consumer
Duncan Engg.,,Auto Components,Auto Components & Equipments
SKP Bearing,SKP,Industrial Products,Abrasives & Bearings
iStreet Network,,IT - Services,IT Enabled Services
Sigma Solve,SIGMA,IT - Services,IT Enabled Services
Gaudium IVF,GAUDIUMIVF,Healthcare Services,Healthcare Service Provider
Resonance Speci.,,Chemicals & Petrochemicals,Specialty Chemicals
India Homes,,Industrial Products,Iron & Steel Products
Gayatri Rubbers,GRCL,Industrial Products,Rubber
India Finsec,,Finance,Non Banking Financial Company (NBFC)
Techera Enginee.,TECHERA,Aerospace & Defense,Aerospace & Defense
Chemcrux Enterp.,,Chemicals & Petrochemicals,Specialty Chemicals
Sanmit Infra,,Petroleum Products,Refineries & Marketing
KVS Castings,,Industrial Products,Castings & Forgings
Surana Telecom,SURANAT&P,Power,Power Generation
Maitreya Medica.,MAITREYA,Healthcare Services,Hospital
National Fitting,,Industrial Products,Iron & Steel Products
Innomet Advanced,INNOMET,Diversified Metals,Diversified Metals
Systematix Corp.,SYSTMTXC,Capital Markets,Stockbroking & Allied
Supra Pacific,,Finance,Non Banking Financial Company (NBFC)
Reliable Data,RELIABLE,Finance,Other Financial Services
Kandarp Digi,KANDARP,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Gujarat Kidney,GKSL,Healthcare Services,Hospital
Shilp Gravures,,Industrial Products,"Aluminium, Copper & Zinc Products"
Shanti Educat.,SEIL,Other Consumer Services,Education
Jagatjit Inds.,,Beverages,Breweries & Distilleries
JK Agri Genetics,,Agricultural Food & other Products,Other Agricultural Products
Brady & Morris,,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
Indo US Bio-Tech,INDOUS,Agricultural Food & other Products,Other Agricultural Products
Hindprakash Indu,HPIL,Chemicals & Petrochemicals,Dyes And Pigments
Tamboli Industri,TAMBOLIIN,Finance,Holding Company
Nephro Care,NEPHROCARE,Healthcare Services,Hospital
OneClick Logisti,OLIL,Transport Services,Logistics Solution Provider
Filatex Fash.,FILATFASH,Textiles & Apparels,Garments & Apparels
Rama Telecom,RTL,Telecom - Services,Telecom - Infrastructure
Interiors & More,INM,Consumer Durables,"Furniture, Home Furnishing"
Destiny Logistic,DESTINY,Transport Services,Logistics Solution Provider
Earkart,,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Alpine Housing,,Realty,"Residential, Commercial Projects"
Godavari Drugs,,Pharmaceuticals & Biotechnology,Pharmaceuticals
CDG Petchem,,Industrial Products,Plastic Products - Industrial
P. H. Capital,,Finance,Investment Company
Valiant Commun.,,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Polson,,Chemicals & Petrochemicals,Specialty Chemicals
Sayaji Hot. Pune,,Leisure Services,Hotels & Resorts
DE Nora India,DENORA,Industrial Products,Electrodes & Refractories
Tankup Engi.,TANKUP,Industrial Products,Other Industrial Products
TransIndia Real,TREL,Transport Services,Logistics Solution Provider
Coral Labs.,,Pharmaceuticals & Biotechnology,Pharmaceuticals
United Heat,UHTL,Industrial Products,Other Industrial Products
Premco Global,PREMCO,Textiles & Apparels,Other Textile Products
Narmada Agrobase,NARMADA,Food Products,Animal Feed
B.A.G. Converge.,BAGDIGITAL,Entertainment,Digital Entertainment
Raj Television,RAJTV,Entertainment,TV Broadcasting & Software Production
Sumuka Agro,,Food Products,Packaged Foods
Rudrabhish. Ent.,REPL,Construction,Civil Construction
G G Automotive,,Auto Components,Auto Components & Equipments
Tracxn Technolo.,TRACXN,Commercial Services & Supplies,Data Processing Services
Umiya Buildcon,UMIYA-MRO,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Galaxy Bearings,,Industrial Products,Abrasives & Bearings
HMT,HMT,Industrial Manufacturing,Industrial Products
Twamev Constr.,TICL,Construction,Civil Construction
W S Inds.,WSI,Construction,Civil Construction
Lorenzini Appar.,LAL,Textiles & Apparels,Garments & Apparels
Raaj Medisafe,,Industrial Products,Packaging
Nagpur Power,,Ferrous Metals,Ferro & Silica Manganese
Orissa Minerals,ORISSAMINE,Minerals & Mining,Industrial Minerals
Hindcon Chemical,HINDCON,Chemicals & Petrochemicals,Specialty Chemicals
Gujarat Intrux,,Industrial Products,Castings & Forgings
Krishanveer Forg,,Industrial Products,Castings & Forgings
Starlineps Enter,,Metals & Minerals Trading,Trading - Minerals
Alphalogic Indu,,Industrial Products,Other Industrial Products
Captain Pipes,,Industrial Products,Plastic Products - Industrial
Bengal Tea & Fab,,Agricultural Food & other Products,Tea & Coffee
ATV Projects,,Industrial Manufacturing,Industrial Products
Graviss Hospital,GRAVISSHO,Leisure Services,Hotels & Resorts
Ravinder Heights,RVHL,Realty,"Residential, Commercial Projects"
Affordable Robo.,AFFORDABLE,Industrial Manufacturing,Industrial Products
Sawaliya Food,SAWALIYA,Agricultural Food & other Products,Other Agricultural Products
Cryogenic OGS,,Industrial Manufacturing,Industrial Products
EKI Energy,,Commercial Services & Supplies,Consulting Services
RDB Infrastruc.,,Realty,"Residential, Commercial Projects"
Asgard Alcobev,,Commercial Services & Supplies,Diversified Commercial Services
Par Drugs & Che.,PAR,Pharmaceuticals & Biotechnology,Pharmaceuticals
Accretion Nutraveda,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Naperol Invest.,,Finance,Investment Company
TRF,TRF,Industrial Manufacturing,Industrial Products
Mehai Technology,,Commercial Services & Supplies,Trading & Distributors
Refex Renewables,,Construction,Civil Construction
BPL,BPL,Consumer Durables,Consumer Electronics
Cosmo Ferrites,,Industrial Manufacturing,Industrial Products
Macobs Technolo.,MACOBSTECH,Personal Products,Personal Care
Jeevan Scienti.,,Healthcare Services,"Healthcare Research, Analytics & Technology"
Satani Bearings,,Industrial Manufacturing,Industrial Products
CG-VAK Software,,IT - Software,Computers - Software & Consulting
V R Infraspace,VR,Realty,"Residential, Commercial Projects"
Ishan Dyes,ISHANCH,Chemicals & Petrochemicals,Specialty Chemicals
Eco Recyc.,,Other Utilities,Waste Management
Prec. Electronic,,Industrial Manufacturing,Industrial Products
Prevest Denpro,,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Mangal Credit,MANCREDIT,Finance,Non Banking Financial Company (NBFC)
Dhanashree Elect,,Electrical Equipment,Other Electrical Equipment
Digilogic Systems,,Aerospace & Defense,Aerospace & Defense
Marble City,,Other Construction Materials,Other Construction Materials
Gautam Exim,,Commercial Services & Supplies,Trading & Distributors
DCM,DCM,IT - Services,IT Enabled Services
Oricon Enterpris,ORICONENT,Industrial Products,Packaging
Usha Financial,USHAFIN,Finance,Non Banking Financial Company (NBFC)
RNIT AI Solution,,Auto Components,Auto Components & Equipments
Urja Global,URJA,Electrical Equipment,Other Electrical Equipment
The Peria Karamalai Tea,PKTEA,Agricultural Food & other Products,Tea & Coffee
Shantidoot Infra,,Realty,"Residential, Commercial Projects"
JSL Industries,,Electrical Equipment,Other Electrical Equipment
B C C Fuba India,,IT - Hardware,Computers Hardware & Equipments
Somi Conv.Belt.,SOMICONVEY,Industrial Manufacturing,Industrial Products
Expo Engineering,,Industrial Products,Other Industrial Products
STEL Holdings,STEL,Finance,Investment Company
Forbes & Co,,Consumer Durables,Household Appliances
Alfred Herbert,,Finance,Non Banking Financial Company (NBFC)
Purple Finance,,Finance,Non Banking Financial Company (NBFC)
Concord Drugs,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Alphageo (India),ALPHAGEO,Oil,Offshore Support Solution Drilling
Kaycee Inds.,,Electrical Equipment,Other Electrical Equipment
CP Capital,CPCAP,Finance,Non Banking Financial Company (NBFC)
Sinclairs Hotels,SINCLAIR,Leisure Services,Hotels & Resorts
Sikko Industries,SIKKO,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Polo Queen Ind.,,Commercial Services & Supplies,Trading & Distributors
Rossell India,ROSSELLIND,Agricultural Food & other Products,Tea & Coffee
Anik Industries,ANIKINDS,Commercial Services & Supplies,Trading & Distributors
Yamuna Syndicate,,Commercial Services & Supplies,Trading & Distributors
Steel City Sec.,STEELCITY,Capital Markets,Stockbroking & Allied
Brooks Lab.,BROOKS,Pharmaceuticals & Biotechnology,Pharmaceuticals
Jhaveri Credits,,Finance,Other Financial Services
Dhampur.Spl.Sug.,,Agricultural Food & other Products,Sugar
United Nilgiri,UNITEDTEA,Agricultural Food & other Products,Tea & Coffee
Guj Apollo Inds,GUJAPOLLO,Industrial Manufacturing,Industrial Products
RDB Real Estate,,Realty,"Residential, Commercial Projects"
PTL Enterprises,PTL,Commercial Services & Supplies,Diversified Commercial Services
Country Club Hos,CCHHL,Leisure Services,Hotels & Resorts
Swadeshi Inds,,Industrial Products,Packaging
Garnet Construct,,Realty,"Residential, Commercial Projects"
Vaxfab Enterp.,,Commercial Services & Supplies,Trading & Distributors
Infinity Infoway,,IT - Services,IT Enabled Services
Sh. Dinesh Mills,,Textiles & Apparels,Other Textile Products
Nidhi Granites,,Other Construction Materials,Other Construction Materials
Polysil Irrigati,POLYSIL,Industrial Products,Plastic Products - Industrial
AMJ Land Holdin.,AMJLAND,Realty,"Residential, Commercial Projects"
Nicco Parks,,Leisure Services,Amusement Parks/ Other Recreation
ACE Alpha Tech,,IT - Software,Computers - Software & Consulting
JTL Defence,,Industrial Products,"Aluminium, Copper & Zinc Products"
SNL Bearings,,Auto Components,Auto Components & Equipments
Taylormade Renew,,Industrial Manufacturing,Industrial Products
Beacon Trust.,BEACON,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries"
Ace Soft. Exp.,,IT - Software,Software Products
FCS Software,FCSSOFT,IT - Services,IT Enabled Services
Tierra Agrotech,,Agricultural Food & other Products,Other Agricultural Products
